Employee,Task
Employee501595,MSR Opener
Employee501595,MSR Closer
Employee501595,DowntownPlatform
Employee501603,MSR Opener
Employee501603,MSR Closer
Employee501603,DowntownPlatform
Employee501715,Teller Opener
Employee501715,Teller Closer
Employee501715,DowntownLobby
Employee501721,MSR Opener
Employee501721,MSR Closer
Employee501721,BM Admin Time
Employee501721,DowntownPlatform
Employee501768,Teller Closer
Employee501768,DowntownLobby
Employee501792,MSR Opener
Employee501792,MSR Closer
Employee501792,DowntownPlatform
Employee501716,Teller Closer
Employee501716,DowntownLobby
